Item #,Component,Quantity,Price,
1,Seeed Xiao RP2040,1,CAD$6.61,
2,Custom PCB,1,CAD$21.44,-With Shipping (converted from USD$15.22)
3,Custom Case,1,CAD$7,-With Shipping
4,RDA5807 Module,1,CAD$1.41,
5,TDA2822 Amplifier,1,CAD$0.56,
6,10K WH148 Dual Gang Potentiometer,1,CAD$0.79,
7,12mm Momentary Push Button,1,CAD$1.70,
8,Audio Jack,1,CAD$2.20,
9,3.5mm Antenna,1,CAD$1.17,
10,100uF Capacitors,5,CAD$3.79,
11,M2.5 Screws,8,CAD$3.15,
12,"M2.5 Heat Inserts, OD 3.5mm",8,CAD$4.58,
13,30MM Speaker,2,CAD$2.51,
14,10k Resitors,2,CAD$1.41,
,,,,
,Sub total:,,CAD$58.32,
,Shipping:,,CAD$53,
,,,CAD$111.32,
,,,USD$78.98,
,"NOTE: Most of the cost is SHIPPING, but if i get the kit with the parts i need, it should be way cheaper",,,
